order_date,product_name,product_category,ram,rom,processor,display_resolution,quantity,price_each
02-02-2022,Lenovo Laptop,Laptop,16GB,1TB,Ryzen 5,FHD,1,54000
03-02-2022,Lenovo Laptop,Laptop,16GB,1TB,i5,4K,1,63000
03-02-2022,Lenovo Laptop,Laptop,16GB,1TB,Ryzen 7,FHD,1,72000
03-02-2022,Dell Laptop,Laptop,16GB,1TB,Ryzen 5,FHD,1,63000
03-02-2022,Lenovo Laptop,Laptop,8GB,1TB,i5,FHD,1,50000
03-02-2022,Asus Laptop,Laptop,16GB,1TB,i7,4K,1,64000
03-02-2022,Asus Laptop,Laptop,8GB,1TB,Ryzen 3,FHD,1,35000
03-02-2022,Lenovo Laptop,Laptop,16GB,1TB,i5,FHD,1,59000
04-02-2022,HP Laptop,Laptop,32GB,1TB,i5,FHD,1,57000
04-02-2022,Dell Laptop,Laptop,16GB,512GB,Ryzen 5,4K,1,46000
04-02-2022,Asus Laptop,Laptop,8GB,1TB,i7,FHD,1,64000
04-02-2022,HP Laptop,Laptop,8GB,512GB,i5,FHD,1,69000
05-02-2022,Lenovo Laptop,Laptop,8GB,512GB,Ryzen 7,4K,1,78000
05-02-2022,Lenovo Laptop,Laptop,16GB,1TB,i7,FHD,1,64000
05-02-2022,Dell Laptop,Laptop,16GB,1TB,Ryzen 7,4K,1,69000
05-02-2022,Dell Laptop,Laptop,8GB,1TB,i7,4K,1,67000
05-02-2022,HP Laptop,Laptop,8GB,512GB,i7,4K,1,70000
05-02-2022,Lenovo Laptop,Laptop,16GB,1TB,Ryzen 7,FHD,1,79000
05-02-2022,Lenovo Laptop,Laptop,8GB,1TB,i5,FHD,1,54000
05-02-2022,Asus Laptop,Laptop,8GB,1TB,Ryzen 3,FHD,1,38000
06-02-2022,Dell Laptop,Laptop,8GB,1TB,i5,FHD,1,42000
06-02-2022,Asus Laptop,Laptop,8GB,1TB,i5,FHD,1,53000
06-02-2022,Asus Laptop,Laptop,8GB,1TB,i5,4K,1,59000
06-02-2022,Dell Laptop,Laptop,8GB,512GB,i5,4K,1,48000
06-02-2022,Asus Laptop,Laptop,16GB,1TB,i5,4K,1,42000
06-02-2022,Dell Laptop,Laptop,8GB,1TB,i5,FHD,1,67000
07-02-2022,Lenovo Laptop,Laptop,8GB,512GB,i5,4K,1,51000
07-02-2022,Dell Laptop,Laptop,8GB,512GB,Ryzen 5,FHD,1,42000
07-02-2022,HP Laptop,Laptop,8GB,512GB,Ryzen 5,FHD,1,58000
07-02-2022,Lenovo Laptop,Laptop,8GB,1TB,i7,FHD,1,63000
07-02-2022,Asus Laptop,Laptop,8GB,512GB,Ryzen 5,FHD,1,68000
07-02-2022,Asus Laptop,Laptop,16GB,1TB,Ryzen 7,FHD,1,63000
08-02-2022,Lenovo Laptop,Laptop,8GB,512GB,i7,4K,1,85000
08-02-2022,Asus Laptop,Laptop,8GB,1TB,i9,4K,1,111000
08-02-2022,Dell Laptop,Laptop,8GB,1TB,Ryzen 5,4K,1,48000
08-02-2022,Dell Laptop,Laptop,8GB,1TB,i5,FHD,1,59000
09-02-2022,Dell Laptop,Laptop,32GB,1TB,i7,FHD,1,64000
09-02-2022,Asus Laptop,Laptop,16GB,512GB,Ryzen 5,FHD,1,62000
09-02-2022,HP Laptop,Laptop,8GB,1TB,i7,4K,1,69000
09-02-2022,Dell Laptop,Laptop,16GB,1TB,i7,4K,1,81000
09-02-2022,Dell Laptop,Laptop,8GB,512GB,Ryzen 5,FHD,1,50000
09-02-2022,Dell Laptop,Laptop,16GB,512GB,Ryzen 5,FHD,1,54000
09-02-2022,Lenovo Laptop,Laptop,8GB,1TB,Ryzen 5,4K,1,45000
10-02-2022,Dell Laptop,Laptop,16GB,1TB,Ryzen 5,4K,1,43000
10-02-2022,HP Laptop,Laptop,8GB,512GB,Ryzen 5,4K,1,61000
10-02-2022,Dell Laptop,Laptop,32GB,1TB,i5,FHD,1,66000
10-02-2022,Dell Laptop,Laptop,16GB,512GB,i5,FHD,1,54000
10-02-2022,Asus Laptop,Laptop,32GB,512GB,i5,FHD,1,53000
11-02-2022,Asus Laptop,Laptop,16GB,1TB,i7,4K,1,66000
11-02-2022,Dell Laptop,Laptop,8GB,1TB,Ryzen 9,4K,1,109000
11-02-2022,HP Laptop,Laptop,16GB,512GB,i5,FHD,1,53000
11-02-2022,Asus Laptop,Laptop,16GB,512GB,Ryzen 9,4K,1,107000
11-02-2022,HP Laptop,Laptop,8GB,512GB,i7,4K,1,85000
11-02-2022,Lenovo Laptop,Laptop,16GB,1TB,i5,FHD,1,61000
11-02-2022,Asus Laptop,Laptop,16GB,2TB,i3,FHD,1,43000
11-02-2022,Dell Laptop,Laptop,8GB,1TB,i7,4K,1,62000
11-02-2022,Lenovo Laptop,Laptop,8GB,512GB,i5,FHD,1,47000
12-02-2022,HP Laptop,Laptop,16GB,1TB,Ryzen 7,FHD,1,74000
12-02-2022,Dell Laptop,Laptop,8GB,512GB,i5,FHD,1,66000
12-02-2022,Dell Laptop,Laptop,8GB,512GB,Ryzen 7,4K,1,64000
12-02-2022,Lenovo Laptop,Laptop,16GB,1TB,i7,FHD,1,90000
12-02-2022,Dell Laptop,Laptop,8GB,1TB,i7,4K,1,79000
12-02-2022,Lenovo Laptop,Laptop,16GB,1TB,i5,FHD,1,45000
13-02-2022,HP Laptop,Laptop,16GB,512GB,Ryzen 5,FHD,1,44000
13-02-2022,Asus Laptop,Laptop,8GB,1TB,i5,4K,1,49000
13-02-2022,HP Laptop,Laptop,8GB,1TB,Ryzen 5,FHD,1,45000
13-02-2022,Dell Laptop,Laptop,8GB,1TB,Ryzen 5,4K,1,57000
13-02-2022,Asus Laptop,Laptop,8GB,1TB,i5,4K,1,63000
14-02-2022,Asus Laptop,Laptop,16GB,1TB,i5,FHD,1,44000
14-02-2022,Asus Laptop,Laptop,8GB,1TB,i5,FHD,1,44000
14-02-2022,HP Laptop,Laptop,16GB,1TB,i5,FHD,1,44000
15-02-2022,Lenovo Laptop,Laptop,8GB,1TB,i5,FHD,1,65000
15-02-2022,Lenovo Laptop,Laptop,8GB,512GB,Ryzen 7,4K,1,66000
15-02-2022,HP Laptop,Laptop,16GB,512GB,Ryzen 3,FHD,1,43000
15-02-2022,Lenovo Laptop,Laptop,16GB,1TB,i7,FHD,1,72000
15-02-2022,Dell Laptop,Laptop,8GB,1TB,Ryzen 7,FHD,1,78000
15-02-2022,Dell Laptop,Laptop,8GB,1TB,Ryzen 5,4K,1,55000
15-02-2022,Dell Laptop,Laptop,16GB,1TB,i5,FHD,1,64000
15-02-2022,Asus Laptop,Laptop,8GB,1TB,Ryzen 5,FHD,1,55000
15-02-2022,Asus Laptop,Laptop,8GB,1TB,Ryzen 5,4K,1,46000
16-02-2022,Lenovo Laptop,Laptop,8GB,1TB,Ryzen 5,FHD,1,42000
16-02-2022,Dell Laptop,Laptop,8GB,512GB,Ryzen 7,FHD,1,80000
16-02-2022,HP Laptop,Laptop,8GB,512GB,Ryzen 7,FHD,1,72000
16-02-2022,HP Laptop,Laptop,8GB,512GB,Ryzen 7,FHD,1,74000
16-02-2022,Dell Laptop,Laptop,8GB,1TB,i5,4K,1,61000
16-02-2022,Dell Laptop,Laptop,16GB,512GB,Ryzen 7,FHD,1,75000
16-02-2022,Dell Laptop,Laptop,16GB,2TB,i5,FHD,1,58000
16-02-2022,Lenovo Laptop,Laptop,16GB,1TB,i7,FHD,1,77000
16-02-2022,Dell Laptop,Laptop,8GB,2TB,Ryzen 3,FHD,1,47000
17-02-2022,HP Laptop,Laptop,16GB,512GB,Ryzen 3,FHD,1,44000
17-02-2022,Dell Laptop,Laptop,8GB,1TB,i5,FHD,1,51000
17-02-2022,HP Laptop,Laptop,8GB,1TB,Ryzen 5,FHD,1,55000
17-02-2022,Dell Laptop,Laptop,8GB,512GB,i5,FHD,1,53000
17-02-2022,Asus Laptop,Laptop,8GB,512GB,i5,4K,1,60000
17-02-2022,Dell Laptop,Laptop,32GB,1TB,Ryzen 5,4K,1,70000
17-02-2022,Dell Laptop,Laptop,16GB,1TB,i5,FHD,1,65000
18-02-2022,HP Laptop,Laptop,8GB,1TB,i5,FHD,1,68000
18-02-2022,Lenovo Laptop,Laptop,8GB,512GB,Ryzen 3,FHD,1,44000
18-02-2022,Lenovo Laptop,Laptop,16GB,2TB,Ryzen 5,FHD,1,62000
18-02-2022,Dell Laptop,Laptop,8GB,1TB,Ryzen 3,FHD,1,48000
18-02-2022,Asus Laptop,Laptop,16GB,1TB,Ryzen 3,FHD,1,35000
18-02-2022,Asus Laptop,Laptop,8GB,1TB,Ryzen 5,4K,1,58000
19-02-2022,Lenovo Laptop,Laptop,16GB,1TB,Ryzen 3,FHD,1,33000
19-02-2022,HP Laptop,Laptop,8GB,1TB,i5,FHD,1,55000
19-02-2022,Dell Laptop,Laptop,8GB,1TB,i5,FHD,1,59000
19-02-2022,Asus Laptop,Laptop,16GB,1TB,Ryzen 3,FHD,1,44000
19-02-2022,Dell Laptop,Laptop,16GB,1TB,Ryzen 5,4K,1,57000
19-02-2022,Asus Laptop,Laptop,16GB,512GB,i5,FHD,1,66000
19-02-2022,Dell Laptop,Laptop,16GB,512GB,i5,FHD,1,46000
19-02-2022,Lenovo Laptop,Laptop,16GB,512GB,i7,FHD,1,66000
20-02-2022,Lenovo Laptop,Laptop,16GB,1TB,i5,FHD,1,63000
20-02-2022,HP Laptop,Laptop,8GB,512GB,Ryzen 7,FHD,1,83000
20-02-2022,Asus Laptop,Laptop,8GB,1TB,Ryzen 5,4K,1,49000
20-02-2022,Dell Laptop,Laptop,32GB,1TB,Ryzen 5,FHD,1,59000
20-02-2022,HP Laptop,Laptop,8GB,512GB,i5,FHD,1,46000
20-02-2022,Dell Laptop,Laptop,8GB,512GB,i5,4K,1,62000
20-02-2022,HP Laptop,Laptop,16GB,1TB,Ryzen 3,FHD,1,36000
21-02-2022,Lenovo Laptop,Laptop,8GB,1TB,Ryzen 5,FHD,1,61000
21-02-2022,Dell Laptop,Laptop,8GB,1TB,Ryzen 5,FHD,1,47000
21-02-2022,HP Laptop,Laptop,8GB,512GB,Ryzen 7,FHD,1,79000
21-02-2022,Dell Laptop,Laptop,16GB,1TB,Ryzen 3,FHD,1,31000
21-02-2022,Dell Laptop,Laptop,16GB,1TB,Ryzen 7,4K,1,83000
21-02-2022,HP Laptop,Laptop,8GB,512GB,i7,FHD,1,84000
21-02-2022,Lenovo Laptop,Laptop,16GB,512GB,i5,FHD,1,51000
21-02-2022,HP Laptop,Laptop,16GB,1TB,i7,FHD,1,87000
22-02-2022,HP Laptop,Laptop,8GB,1TB,i5,FHD,1,58000
22-02-2022,Dell Laptop,Laptop,16GB,512GB,i5,FHD,1,58000
